elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,fqid,room_fqid,text_fqid,fullscreen,hq,music,level_group,session_level
32330,navigate_click,undefined,0,,-923.89784487631,-269.87211639016107,64.0,569.0,,,notebook,tunic.historicalsociety.closet,,0,0,1,0-4,0
34581,notification_click,basic,0,,-447.9620130334283,-209.372609023553,580.0,485.0,,Found it!,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.notebook,0,0,1,0-4,0
36597,object_click,close,0,,-207.64301688949425,212.0957358109154,821.0,63.0,,,notebook,tunic.historicalsociety.closet,,0,0,1,0-4,0
37430,navigate_click,undefined,1,,-347.65671725733733,-17.914959974825976,681.0,293.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
39263,navigate_click,undefined,1,,-298.51972031998963,124.88651527448329,491.0,197.0,,,tobasement,tunic.historicalsociety.closet,,0,0,1,0-4,0
43646,navigate_click,undefined,1,,123.99460742424245,19.1296063311372,502.0,307.0,,,tocloset,tunic.historicalsociety.basement,,0,0,1,0-4,0
45380,navigate_click,undefined,1,,-382.0290931904356,119.12718740270644,358.0,208.0,,,tobasement,tunic.historicalsociety.closet,,0,0,1,0-4,0
47182,navigate_click,undefined,1,,-239.8235743939394,-1.779484577953694,241.0,322.0,,,janitor,tunic.historicalsociety.basement,,0,0,1,0-4,0
49364,observation_click,basic,1,,-484.78616806917887,-100.74918154765068,125.0,393.0,,Hmm. Button's still not working.,janitor,tunic.historicalsociety.basement,tunic.historicalsociety.basement.janitor,0,0,1,0-4,0
50313,navigate_click,undefined,1,,-526.5220000548119,-111.9006966991658,97.0,401.0,,,toentry,tunic.historicalsociety.basement,,0,0,1,0-4,0
55631,navigate_click,undefined,1,,330.2236213937263,80.79568358536096,427.0,280.0,,,groupconvo,tunic.historicalsociety.entry,,0,0,1,0-4,0
57863,cutscene_click,basic,1,,193.0299908309225,-126.02971467522124,429.0,411.0,,Let's get started. The Wisconsin Wonders exhibit opens tomorrow!,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
59079,cutscene_click,basic,1,,189.1153546363402,-125.68309641929542,429.0,411.0,,Who wants to investigate the shirt artifact?,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
61630,cutscene_click,basic,1,,188.6447631489324,-125.64142828143764,429.0,411.0,,Not Leopold here. He's been losing papers lately.,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
62296,cutscene_click,basic,1,,188.6415965047798,-125.64114789352452,429.0,411.0,,Hey!,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
63047,cutscene_click,basic,1,,188.6406045466892,-125.64106006140776,429.0,411.0,,"It's true, they do keep going missing lately.",groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
63930,cutscene_click,basic,1,,188.64033410916875,-125.64103611573898,429.0,411.0,,See?,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
65245,cutscene_click,basic,1,,188.64027297019385,-125.64103070223852,429.0,411.0,,"Besides, I already figured out the shirt.",groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
66481,cutscene_click,basic,1,,188.6402675483373,-125.64103022216467,429.0,411.0,,It's a women's basketball jersey!,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
75262,object_click,basic,1,,835.1006305487497,-303.1326665294912,826.0,520.0,,,report,tunic.historicalsociety.entry,,0,0,1,0-4,0
76680,object_click,close,1,,818.8169941851132,471.9684243795991,816.0,44.0,,,report,tunic.historicalsociety.entry,,0,0,1,0-4,0
77997,cutscene_click,basic,1,,709.7166305487499,-55.62139380221868,749.0,368.0,,That settles it.,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
78763,cutscene_click,basic,1,,709.7166305487499,-55.62139380221868,749.0,368.0,,"Wells, finish up your report.",groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
80064,cutscene_click,basic,1,,709.7166305487499,-55.62139380221868,749.0,368.0,,"Leopold, why don't you help me set up in the Capitol?",groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
82879,cutscene_click,basic,1,,709.7166305487499,-55.62139380221868,749.0,368.0,,We need to talk about that missing paperwork.,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
83762,cutscene_click,basic,1,,709.7166305487499,-55.62139380221868,749.0,368.0,,"Will do, Boss.",groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
86062,cutscene_click,basic,1,,709.7166305487499,-55.62139380221868,749.0,368.0,,"Hey Jo, let's take a look at the shirt!",groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
86746,cutscene_click,basic,1,,709.7166305487499,-55.62139380221868,749.0,368.0,,undefined,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
87412,cutscene_click,basic,1,,38.83081236693201,-143.55303016585498,337.0,422.0,,undefined,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4,0
91052,navigate_click,undefined,2,,-182.5571874504564,-143.49256515949287,173.0,415.0,,,,tunic.historicalsociety.entry,,0,0,1,0-4,0
91380,navigate_click,undefined,2,,-539.7655218141281,-153.14089511853442,47.0,413.0,,,,tunic.historicalsociety.entry,,0,0,1,0-4,0
93412,navigate_click,undefined,2,,-929.9021197472418,-156.4878244136874,47.0,413.0,,,tocollection,tunic.historicalsociety.entry,,0,0,1,0-4,0
97878,cutscene_click,basic,2,,-66.92020481718737,16.391707842031366,278.0,313.0,,Look at that! It's the bee's knees!,cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4,0
100478,cutscene_click,basic,2,,-66.5429111909592,-98.18935782956024,391.0,405.0,,"Wow, that's so cool, Gramps!",cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4,0
101379,cutscene_click,basic,2,,-67.71942933970442,-98.05999149470163,391.0,405.0,,Can I take a closer look?,cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4,0
102996,cutscene_click,basic,2,,-67.9862306582374,-98.03065483827106,391.0,405.0,,Hmmm. Shouldn't you be doing your homework?,cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4,0
103829,cutscene_click,basic,2,,-67.99769780163274,-98.02939394627892,391.0,405.0,,It's already all done!,cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4,0
104562,cutscene_click,basic,2,,-68.00005855317463,-98.02913436526455,391.0,405.0,,"Plus, my teacher said I could help you out for extra credit!",cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4,0
107062,cutscene_click,basic,2,,-68.00085213043789,-98.02904710593744,391.0,405.0,,"Well, that's good enough for me.",cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4,0
107547,cutscene_click,basic,2,,-68.00089216151933,-98.02904270424224,391.0,405.0,,"Go ahead, take a peek at the shirt!",cs,tunic.historicalsociety.collection,tunic.historicalsociety.collection.cs,0,0,1,0-4,0
108846,navigate_click,undefined,2,,-35.922224168118085,158.19713212277128,374.0,217.0,,,tunic,tunic.historicalsociety.collection,,0,0,1,0-4,0
111212,object_click,basic,2,,105.00210815302223,-147.27552817127474,488.0,432.0,,,tunic,tunic.historicalsociety.collection,,0,0,1,0-4,0
112246,object_click,basic,2,,107.41234926062393,274.55022280115026,490.0,139.0,,,tunic.hub.slip,tunic.historicalsociety.collection,,0,0,1,0-4,0
114711,notification_click,basic,2,,347.72659861898927,172.36473068592178,657.0,210.0,,This looks like a clue!,,tunic.historicalsociety.collection,tunic.historicalsociety.collection.tunic.slip,0,0,1,0-4,0
115895,notification_click,basic,2,,347.7259621467814,172.36484387664487,657.0,210.0,,I'll record this in my notebook.,,tunic.historicalsociety.collection,tunic.historicalsociety.collection.tunic.slip,0,0,1,0-4,0
116880,object_hover,undefined,2,,,,,,5168.0,,tunic.hub.slip,tunic.historicalsociety.collection,,0,0,1,0-4,0
117529,object_click,close,2,,570.8319442078238,414.1830396633352,812.0,42.0,,,tunic,tunic.historicalsociety.collection,,0,0,1,0-4,0
118961,navigate_click,undefined,2,,-117.1983626988598,83.12243429210766,334.0,272.0,,,gramps,tunic.historicalsociety.collection,,0,0,1,0-4,0
120463,person_click,basic,2,,7.6023985055659615,-65.67577865076802,425.0,374.0,,Find anything?,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
121978,person_click,basic,2,,7.172444550460062,-65.81918193640331,425.0,374.0,,Yes! This cool old slip from 1916.,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
122745,person_click,basic,2,,7.15082290982722,-65.8263934395672,425.0,374.0,,Hot Dog! I knew it!,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
124395,person_click,basic,2,,7.144102877175612,-65.82863478367015,425.0,374.0,,I'm not so sure that this is a basketball jersey.,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
125212,person_click,basic,2,,7.1438528434697375,-65.82871817784414,425.0,374.0,,"Wait, you mean Wells is wrong?!",gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
126413,person_click,basic,2,,7.143765146281817,-65.82874742763877,425.0,374.0,,Could be. But we need evidence!,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
128828,person_click,basic,2,,7.1437565619439605,-65.82875029078781,425.0,374.0,,Why don't you head to the Basketball Center and rustle up some clues?,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
129695,person_click,basic,2,,7.1437564785461785,-65.82875031860362,425.0,374.0,,"Ooh, I like clues!",gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
130995,person_click,basic,2,,7.143756459018463,-65.82875032511673,425.0,374.0,,I'll be at the Capitol. Let me know if you find anything!,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.found,0,0,1,0-4,0
133678,notebook_click,open,3,0.0,-522.5532132399363,-421.35905335608186,57.0,621.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
139212,notebook_click,close,3,0.0,591.5376958509571,386.1409466439129,831.0,60.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
140278,navigate_click,undefined,3,,58.96193827519943,-26.96511396214771,461.0,347.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
141277,navigate_click,undefined,3,,-63.76719995628659,-19.051698873474976,381.0,342.0,,,gramps,tunic.historicalsociety.collection,,0,0,1,0-4,0
144872,person_click,basic,3,,116.4943679034538,-28.400577801635126,501.0,348.0,,Um... what did you want me to do again?,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.lost,0,0,1,0-4,0
145213,person_click,basic,3,,175.54648838733584,-25.52514322594437,542.0,346.0,,Head over to the Basketball Center.,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.lost,0,0,1,0-4,0
146246,person_click,basic,3,,175.5518852335759,-25.52563275166912,542.0,346.0,,Hopefully you can rustle up some clues!,gramps,tunic.historicalsociety.collection,tunic.historicalsociety.collection.gramps.lost,0,0,1,0-4,0
148711,navigate_click,undefined,3,,-486.5683750405538,-447.2681433322271,82.0,639.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
151872,navigate_click,undefined,3,,-622.4454253338407,-449.57718076172506,99.0,629.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
152496,navigate_click,undefined,3,,-241.58298286060565,-435.69120987396593,375.0,619.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
154211,navigate_click,undefined,3,,135.08344064870528,-405.3497049141363,593.0,598.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
154961,navigate_click,undefined,3,,298.5891598231071,-393.4623810441752,676.0,590.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
155628,navigate_click,undefined,3,,498.7073175166722,-210.3839918298239,768.0,463.0,,,,tunic.historicalsociety.collection,,0,0,1,0-4,0
156394,navigate_click,undefined,3,,650.1494490580103,-135.90042283698216,820.0,414.0,,,toentry,tunic.historicalsociety.collection,,0,0,1,0-4,0
158028,navigate_click,undefined,3,,-132.6338966288775,-208.79161760747883,658.0,450.0,,,,tunic.historicalsociety.entry,,0,0,1,0-4,0
160746,navigate_click,undefined,3,,358.29099239657165,-113.16280408252004,738.0,382.0,,,,tunic.historicalsociety.entry,,0,0,1,0-4,0
164045,navigate_click,undefined,3,,877.9582575155678,70.27386023529849,842.0,277.0,,,tomap,tunic.historicalsociety.entry,,0,0,1,0-4,0
166545,map_hover,basic,3,,,,,,132.0,,tunic.historicalsociety,tunic.historicalsociety.entry,,0,0,1,0-4,0
168712,map_click,undefined,3,,177.12106152732375,-163.47050561677435,268.0,430.0,,,tunic.kohlcenter,tunic.historicalsociety.entry,,0,0,1,0-4,0
171211,navigate_click,undefined,3,,-713.9738083971182,-17.999999999999968,283.0,348.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
172428,navigate_click,undefined,3,,-583.0228423439243,26.99999999999999,374.0,303.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
173344,navigate_click,undefined,3,,-435.5487541301978,-9.000000000000021,467.0,339.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
174261,navigate_click,undefined,3,,-311.40465861285617,-29.000000000000004,508.0,359.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
174911,navigate_click,undefined,3,,-157.2774780063105,-55.00000000000002,589.0,385.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
175662,navigate_click,undefined,3,,-4.299236644702688,-53.99999999999998,630.0,384.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
176444,navigate_click,undefined,3,,152.16960105553758,-43.99999999999999,658.0,374.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
177362,navigate_click,undefined,3,,373.7424666768037,-14.999999999999984,735.0,345.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
178695,navigate_click,undefined,3,,609.5081706007345,-2.0000000000000133,778.0,332.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
179477,navigate_click,undefined,3,,727.1608428945218,76.99999999999999,787.0,253.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
180945,navigate_click,undefined,3,,685.1759803055024,99.0,621.0,231.0,,,plaque,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
184627,object_hover,undefined,3,,,,,,33.0,,plaque.face.date,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
186377,object_click,basic,3,,484.7385895264435,-160.0,495.0,490.0,,,plaque,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
187312,object_click,basic,3,,517.7334671699398,-108.00000000000004,528.0,438.0,,,plaque.face.date,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
188295,notification_click,basic,3,,517.7325186983309,-108.00000000000004,528.0,438.0,,That's it!,,tunic.kohlcenter.halloffame,tunic.kohlcenter.halloffame.plaque.face.date,0,0,1,0-4,0
189794,notification_click,basic,3,,517.7323423679958,-108.00000000000004,528.0,438.0,,The slip is from 1916 but the team didn't start until 1974!,,tunic.kohlcenter.halloffame,tunic.kohlcenter.halloffame.plaque.face.date,0,0,1,0-4,0
190745,object_hover,undefined,3,,,,,,3816.0,,plaque.face.date,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
191861,object_click,close,3,,793.7323304918782,269.0,804.0,61.0,,,plaque,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
195011,cutscene_click,basic,3,,615.732330431706,48.99999999999999,626.0,281.0,,Our shirt is too old to be a basketball jersey!,togrampa,tunic.kohlcenter.halloffame,tunic.kohlcenter.halloffame.togrampa,0,0,1,0-4,0
197044,cutscene_click,basic,3,,615.732330431706,48.99999999999999,626.0,281.0,,I need to get to the Capitol and tell Gramps!,togrampa,tunic.kohlcenter.halloffame,tunic.kohlcenter.halloffame.togrampa,0,0,1,0-4,0
198886,notebook_click,open,4,1.0,40.73233022176072,-292.0,51.0,622.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
200961,notebook_click,close,4,1.0,810.7323302138033,283.0,821.0,47.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
201878,navigate_click,undefined,4,,65.73233021366428,-63.0,76.0,393.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
202394,navigate_click,undefined,4,,24.2679511900746,-63.0,76.0,393.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
202962,navigate_click,undefined,4,,-154.6693558388542,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
203372,navigate_click,undefined,4,,-191.43720092673348,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
203244,navigate_click,undefined,4,,-225.8699468514381,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
203377,navigate_click,undefined,4,,-261.6613256742809,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
203511,navigate_click,undefined,4,,-298.5555486432953,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
203661,navigate_click,undefined,4,,-341.08183539313694,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
203827,navigate_click,undefined,4,,-389.2231750830426,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
203960,navigate_click,undefined,4,,-428.13802530995366,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
204372,navigate_click,undefined,4,,-472.06537926562936,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
204193,navigate_click,undefined,4,,-496.4361600311897,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
204310,navigate_click,undefined,4,,-530.4018092527332,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
204927,navigate_click,undefined,4,,-701.9506605516498,-89.00000000000004,9.0,419.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
205910,navigate_click,undefined,4,,-887.3757379745224,-89.00000000000004,9.0,419.0,,,toentry,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
206861,map_click,basic,4,,-941.6179603023436,-26.00000000000001,37.0,356.0,,,,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
207212,map_hover,basic,4,,,,,,885.0,,toentry,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
207927,map_click,undefined,4,,-532.742758029942,31.00000000000001,467.0,299.0,,,tunic.capitol_0,tunic.kohlcenter.halloffame,,0,0,1,0-4,0
210493,navigate_click,undefined,4,,-43.99149708659878,24.579814061998,227.0,281.0,,,chap1_finale,tunic.capitol_0.hall,,0,0,1,0-4,0
267350,checkpoint,basic,4,,,,,,,,chap1_finale_c,tunic.capitol_0.hall,,0,0,1,0-4,0
303192,navigate_click,undefined,5,,145.5936933153638,-239.4028064588132,564.0,466.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
303909,navigate_click,undefined,5,,317.3079077202609,-263.8172017071735,641.0,476.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
304609,navigate_click,undefined,5,,506.5112523704638,-344.298701203,708.0,525.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
305391,navigate_click,undefined,5,,705.7309732876198,-462.2476394713684,782.0,597.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
306242,navigate_click,undefined,5,,845.3906042260169,-522.4731133111151,827.0,635.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
307243,navigate_click,undefined,5,,895.9371996895134,-533.6757022029648,845.0,642.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
307793,navigate_click,undefined,5,,898.7647338354247,-533.7481742167806,845.0,642.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
308625,navigate_click,undefined,5,,-16.625646030784708,-74.6899774009009,240.0,339.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
309659,navigate_click,undefined,5,,-367.7166884283832,-163.91239469874571,55.0,416.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
310508,navigate_click,undefined,5,,-519.5132605161651,-273.93322824481146,37.0,489.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
311242,navigate_click,undefined,5,,-644.559094179255,-286.90871582627005,37.0,489.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
312342,navigate_click,undefined,5,,-792.0434835562706,-327.4711366695928,25.0,511.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
312942,navigate_click,undefined,5,,-697.4316926822207,-437.983192521092,112.0,580.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
313509,navigate_click,undefined,5,,-675.3363032291304,-510.3997852449894,131.0,627.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
313693,navigate_click,undefined,5,,-676.3850197406528,-510.5885265486912,131.0,627.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
314559,navigate_click,undefined,5,,-773.9338314406032,-36.72301497724477,68.0,314.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
316022,navigate_click,undefined,5,,-774.2992868078218,-22.072143179601262,68.0,314.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
315525,navigate_click,undefined,5,,-774.382055468888,-10.797331276882172,68.0,314.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
315725,navigate_click,undefined,5,,-774.4103431746049,-6.943957825970749,68.0,314.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
316443,navigate_click,undefined,5,,-286.57836140634464,-73.295265480253,390.0,362.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
316759,navigate_click,undefined,5,,-275.771677918288,-72.2596730649601,390.0,362.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
317758,navigate_click,undefined,5,,-83.72564303006531,-96.90841526634912,481.0,379.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
318492,navigate_click,undefined,5,,111.79409992132489,-195.2364127980213,571.0,444.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
319512,navigate_click,undefined,5,,380.79896073180834,-217.42813966986265,699.0,452.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
320009,navigate_click,undefined,5,,638.7086238745301,-3.2639719868443966,786.0,305.0,,,,tunic.capitol_0.hall,,0,0,1,5-12,1
321441,navigate_click,undefined,5,,816.2466185588625,-31.94226142441528,809.0,335.0,,,toentry,tunic.capitol_0.hall,,0,0,1,5-12,1
